Command: /home/users14/ad477306/Verilog/Lab7/./simv -l Lab7_1.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-9_Full64; Runtime version N-2017.12-SP2-9_Full64;  Apr 17 00:35 2023
VCD+ Writer N-2017.12-SP2-9_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
                   0 DATA =   z, ADDR =  0, OE = 0, WS = 0, CS = 1
                   6 DATA =  31, ADDR =  0, OE = 0, WS = 0, CS = 0
                  12 DATA =  31, ADDR =  0, OE = 0, WS = 1, CS = 0
                  14 DATA =  31, ADDR =  0, OE = 0, WS = 0, CS = 0
                  20 DATA =  31, ADDR =  0, OE = 1, WS = 0, CS = 0
                  22 DATA =  32, ADDR =  1, OE = 0, WS = 0, CS = 0
                  28 DATA =  32, ADDR =  1, OE = 0, WS = 1, CS = 0
                  30 DATA =  32, ADDR =  1, OE = 0, WS = 0, CS = 0
                  36 DATA =  32, ADDR =  1, OE = 1, WS = 0, CS = 0
                  38 DATA =  33, ADDR =  2, OE = 0, WS = 0, CS = 0
                  44 DATA =  33, ADDR =  2, OE = 0, WS = 1, CS = 0
                  46 DATA =  33, ADDR =  2, OE = 0, WS = 0, CS = 0
                  52 DATA =  33, ADDR =  2, OE = 1, WS = 0, CS = 0
                  54 DATA =  34, ADDR =  3, OE = 0, WS = 0, CS = 0
                  60 DATA =  34, ADDR =  3, OE = 0, WS = 1, CS = 0
                  62 DATA =  34, ADDR =  3, OE = 0, WS = 0, CS = 0
                  68 DATA =  34, ADDR =  3, OE = 1, WS = 0, CS = 0
                  70 DATA =  35, ADDR =  4, OE = 0, WS = 0, CS = 0
                  76 DATA =  35, ADDR =  4, OE = 0, WS = 1, CS = 0
                  78 DATA =  35, ADDR =  4, OE = 0, WS = 0, CS = 0
                  84 DATA =  35, ADDR =  4, OE = 1, WS = 0, CS = 0
                  86 DATA =  36, ADDR =  5, OE = 0, WS = 0, CS = 0
                  92 DATA =  36, ADDR =  5, OE = 0, WS = 1, CS = 0
                  94 DATA =  36, ADDR =  5, OE = 0, WS = 0, CS = 0
                 100 DATA =  36, ADDR =  5, OE = 1, WS = 0, CS = 0
                 102 DATA =  37, ADDR =  6, OE = 0, WS = 0, CS = 0
                 108 DATA =  37, ADDR =  6, OE = 0, WS = 1, CS = 0
                 110 DATA =  37, ADDR =  6, OE = 0, WS = 0, CS = 0
                 116 DATA =  37, ADDR =  6, OE = 1, WS = 0, CS = 0
                 118 DATA =  38, ADDR =  7, OE = 0, WS = 0, CS = 0
                 124 DATA =  38, ADDR =  7, OE = 0, WS = 1, CS = 0
                 126 DATA =  38, ADDR =  7, OE = 0, WS = 0, CS = 0
                 132 DATA =  38, ADDR =  7, OE = 1, WS = 0, CS = 0
                 134 DATA =  39, ADDR =  8, OE = 0, WS = 0, CS = 0
                 140 DATA =  39, ADDR =  8, OE = 0, WS = 1, CS = 0
